" or edit the site directly in the editor ";" ou édite le site dans l'éditeur"
"100% smartphone";"100% smartphone"
"140 characters maximum";"140 caractères maximum"
"160 characters for the first SMS, 153 for the next ones";"160 caractères pour le premier SMS, 153 caractères ensuite"
"A user has post a reply on the site '%s' the %s";"Un utilisateur a répondu sur le site '%s' le '%s'"
"A user of your site submitted the following information";"Un utilisateur de votre site a soumis les informations suivantes"
"Action not recognized...";"Action non reconnue..."
"Add";"Ajouter"
"Add an new component";"Ajouter un nouveau composant"
"All contacts optin";"Activation de tous les contacts"
"All contacts optout";"Désactivation de tous les contacts"
"Already done";"Déjà fait"
"An error has occured";"Une erreur s'est produite"
"An error has occurred";"Une erreur s'est produite"
"An error occurred on the server when deleting contacts. Thank you notify us of this error";"Une erreur sur le serveur est apparue lors de la suppression des contacts. Merci de nous prévenir de cette erreur."
"An error was occured";"Une erreur s'est produite"
"And";"Et"
"Apply";"Appliquer"
"Are you sure to want to create a new list with the selected contact ?";"Etes-vous sûr de vouloir créer une nouvelle liste avec les contacts sélectionnés ?"
"Are you sure to want to delete this?";"Etes vous sure de vouloir supprimer cet élément ?"
"Are you sure to want to export the current contact list ?";"Etes-vous sûr de vouloir exporter la liste de contacts courante ?"
"Are you sure to want to export the selected contact ?";"Etes-vous sûr de vouloir exporter les contacts sélectionnés ?"
"Are you sure to want to export your search results ?";"Etes-vous sûr de vouloir exporter vos résultats de recherche ?"
"Are you sure you want to delete this content ?";"Etes-vous sûr de vouloir supprimer ce contenu ?"
"Attributes";"Attributs"
"Available custom fields...";"Champs personnalisés disponibles..."
"Bar code";"Code barre"
"Broadcast";"Diffuser"
"Button label";"Libellé du bouton"
"CONTACT-FIELDS";"CHAMPS-PERSONNALISÉS"
"CSS content";"Contenu CSS"
"CSV separator";"séparateur CSV"
"Cancel";"Annuler"
"Cannot delete a message without a valide identifier";"Impossible de supprimer un message sans un identifiant valide"
"Cannot delete network with invalid identifier.";"Impossible de supprimer un réseau : identifiant invalide"
"Cannot edit step with invalid campaign";"Impossible d'éditer une étape dans une campagne invalide"
"Cannot edit step with invalid identifier";"Impossible d'éditer une étape à partir d'un identifiant invalide"
"Cannot found this message";"Impossible de trouver ce message"
"Cannot load this tab";"Impossible de charger cet onglet"
"Channel";"Canal"
"Characters number";"Nombre de caractères"
"City";"Ville"
"Clear selection";"Effacer la sélection"
"Clic on the left part to display zone parameter";"Cliquez sur une zone à gauche pour l'éditer"
"Click on the left pane to display parameters";"Cliquez sur une zone à gauche pour l'éditer"
"Close";"Fermer"
"Code/Url";"Code/Url"
"Confirm";"Confirmation"
"Confirm deletion of all contacts search";"Confirmer la suppression de tous les contacts de la recherche"
"Confirm deletion of selected contacts";"Confirmer la suppression des contacts sélectionnés"
"Confirm deletion of the selected contact";"Confirmer la suppression du contact sélectionné"
"Confirm removal of contacts from list";"Confirmer le retrait des contacts sélectionnés de la liste"
"Confirm removal the contact from list";"Confirmer le retrait du contact sélectionné de la liste"
"Confirm remove contacts without list";"Confirmer la suppression des contacts sans liste"
"Confirm the deletion of all the contacts in the database";"Confirmer la suppression de tous les contacts de la base de données"
"Confirm the optin of selected contact";"Confirmer l'activation des contacts sélectionnés"
"Confirm the optin of all the contacts in the list";"Confirmer l'activation de tous les contacts de la liste"
"Confirm the optin of all the contacts search";"Confirmer l'activation de tous les contacts de la recherche"
"Confirm the optin of the selected contact";"Confirmer l'activation du contact sélectionné"
"Confirm the optout of selected contact";"Confirmer la désactivation des contacts sélectionnés"
"Confirm the optout of all the contacts in the list";"Confirmer la désactivation de tous les contacts de la liste"
"Confirm the optout of all the contacts search";"Confirmer la désactivation de tous les contacts de la recherche"
"Confirm the optout of the selected contact";"Confirmer la désactivation du contact sélectionné"
"Confirm the removal of all contacts in the list";"Confirmer le retrait de tous les contacts de la liste"
"Confirm the removal of all contacts search";"Confirmer le retrait de tous les contacts de la recherche"
"Contact export";"Export des contacts"
"Contact optin";"Activation du contact"
"Contact optout";"Désactivation du contact"
"Contacts optin";"Activation des contacts"
"Contacts optout";"Désactivation des contacts"
"Content";"Contenu"
"Contracts";"Contrats"
"Dashboard";"Tableau de bord"
"Default value";"Valeur par défaut"
"Delete";"Supprimer"
"Delete campaign";"Supprimer la campagne"
"Delete content";"Supprimer le contenu"
"Delete contract";"Supprimer le contrat"
"Delete network";"Supprimer le réseau"
"Deleting all contacts";"Suppression de tous les contacts"
"Deleting all contacts search";"Suppression de tous les contacts de la recherche"
"Deletion of contact";"Suppression des contacts"
"Digitaleo";"Digitaleo"
"Digitaleo Blog";"Blog Digitaleo"
"Digitaleo.mail";"contact@digitaleo.com"
"Digitaleo.phone";"02.56.036.700"
"Down";"Bas"
"Download";"Télécharger"
"Duplicate campaign";"Dupliquer la campagne"
"Edit";"Edition"
"Edit a component";"Edition d'un composant"
"Edit campaign";"Editer la campagne"
"Edit contract";"Editer le contrat"
"Edit network";"Editer le réseau"
"Edit step";"Editer l'étape"
"Edition";"Edition"
"Email list";"Emails"
"Email:";"Email:"
"End date";"Date de fin"
"Error";"Erreur"
"Error : invalid file extension";"Erreur : extension de fichier non valide"
"Excel file";"fichier Excel"
